iter	Passed	Remaining
0	1	125
1	2	114
2	3	99
3	3	91
4	4	89
5	5	87
6	6	87
7	7	85
8	8	84
9	9	83
10	10	83
11	11	82
12	12	81
13	13	80
14	14	80
15	15	80
16	16	79
17	17	80
18	18	80
19	19	78
20	20	77
21	21	76
22	22	75
23	23	73
24	24	72
25	25	71
26	26	70
27	27	69
28	28	68
29	29	67
30	30	67
31	31	67
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	37	61
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	73	28
72	74	27
73	77	27
74	78	26
75	79	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	87	19
82	88	18
83	89	17
84	90	16
85	91	14
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
