iter	Passed	Remaining
0	156	156015
1	157	78534
2	158	52701
3	159	39768
4	160	32012
5	162	26940
6	163	23253
7	165	20464
8	166	18302
9	167	16565
10	168	15148
11	169	13981
12	171	12992
13	172	12141
14	173	11390
15	174	10760
16	176	10208
17	177	9703
18	179	9246
19	180	8833
20	181	8448
21	182	8105
22	183	7791
23	184	7503
24	185	7234
25	186	6991
26	187	6767
27	188	6553
28	190	6365
29	191	6184
30	192	6018
31	193	5858
32	194	5712
33	196	5576
34	197	5447
35	198	5324
36	199	5204
37	201	5091
38	202	4982
39	204	4897
40	205	4804
41	206	4706
42	207	4616
43	208	4530
44	209	4450
45	210	4375
46	212	4299
47	213	4229
48	214	4159
49	215	4090
50	216	4026
51	218	3981
52	219	3926
53	220	3869
54	221	3814
55	223	3761
56	224	3709
57	225	3661
58	226	3611
59	227	3561
60	228	3514
61	229	3470
62	230	3428
63	232	3395
64	233	3364
65	235	3327
66	236	3298
67	238	3262
68	239	3226
69	240	3191
70	241	3157
71	242	3124
72	243	3093
73	244	3059
74	245	3027
75	247	3006
76	248	2981
77	249	2951
78	250	2923
79	251	2896
80	252	2867
81	253	2841
82	254	2809
83	255	2783
84	256	2758
85	257	2734
86	258	2710
87	259	2689
88	260	2667
89	261	2647
90	263	2631
91	264	2609
92	265	2587
93	266	2566
94	267	2544
95	267	2523
96	268	2503
97	269	2484
98	270	2465
99	272	2448
100	273	2430
101	274	2412
102	274	2394
103	276	2377
104	277	2362
105	278	2347
106	279	2330
107	280	2313
108	281	2298
109	282	2283
110	283	2267
111	284	2251
112	284	2236
113	285	2221
114	286	2206
115	287	2192
116	288	2176
117	289	2163
118	290	2148
119	291	2137
120	292	2126
121	293	2113
122	294	2100
123	295	2087
124	296	2074
125	297	2062
126	298	2049
127	299	2036
128	300	2025
129	300	2013
130	301	2001
131	302	1990
132	303	1978
133	304	1967
134	305	1957
135	306	1949
136	308	1941
137	309	1931
138	310	1921
139	311	1911
140	312	1902
141	313	1891
142	314	1882
143	315	1873
144	316	1866
145	317	1857
146	318	1848
147	319	1840
148	323	1846
149	324	1837
150	325	1830
151	326	1821
152	327	1813
153	328	1805
154	329	1796
155	330	1788
156	331	1780
157	332	1772
158	333	1764
159	334	1756
160	335	1747
161	336	1741
162	337	1734
163	338	1726
164	339	1718
165	340	1710
166	341	1702
167	342	1694
168	343	1687
169	344	1680
170	345	1673
171	346	1666
172	346	1658
173	347	1651
174	348	1644
175	349	1637
176	351	1633
177	352	1627
178	353	1621
179	354	1614
180	355	1607
181	356	1600
182	357	1593
183	357	1587
184	358	1580
185	359	1574
186	360	1568
187	361	1561
188	362	1555
189	363	1549
190	364	1542
191	365	1538
192	366	1533
193	367	1527
194	368	1521
195	369	1516
196	370	1510
197	371	1504
198	372	1498
199	373	1492
200	374	1487
201	374	1481
